SID | Code | Name
 206 | SAINIK   | Sainik School Ambikapur
 223 | SGNPS    | Shri Guru Nanak Public School
 202 | MMRSUJ   | MOTHER MARY HR.SEC.SCHOOL
 226 | MDRNOD   | MODERN SCHOOL NOIDA
 225 | MDRSCH   | MODERN SCHOOL VAISHALI
 244 | DPPSWAZ  | Delhi Police Public School, Wazirabad
 239 | ASHOKA   | ASHOKA PUBLIC SCHOOL
 234 | SPMI     | SARDAR PATEL EDUCATIONAL SOCIETY
 245 | ROCKFORD | ROCKFORD CONVENT SR. SEC. SCHOOL
 241 |          | SNS College of Pharmacy
 247 | RDPSCH   | R.D. PUBLIC SR. SCHOOL
 212 | DELCTY   | DELHI CITY SCHOOL
 238 | DIHSJR   | Delhi International Happy School Junior
 236 | HILWOD   | HILLWOODS SCHOOL, GANDHINAGAR
 233 | DIHS     | Delhi International Happy School
 258 | STPETER  | St. Peter School
 216 | SATYA    | SATYA SCHOOL
 221 | SNSTTC   | SNS Teachers Training College
 227 | KIPSHP   | KASAULI INTERNATIONAL PUBLIC SCHOOL
 229 | RNFLHS   | R.N.Foundation Little heart School, Sunder Nagar
 217 |          | GOLDENBEE GLOBAL SCHOOL - HORAMAVU
 256 | AJPUCW   | Anjuman Pre-University College for Women
 230 | SVIS     | Snower Valley International School
 237 | TIISB    | The Innovative International School Bhandara
 220 | SVKINT   | The Sivakasi Lions International  Institutions
 228 | RNFLHK   | R.N.Foundation Little Heart School, Kedo
 246 | SHIVALIK | THE SHIVALIK INTERNATIONAL SCHOOL
 248 | VISIP    | VIVEKANAND INTERNATIONAL SCHOOL
 232 | CISMANDI | CAMBRIDGE INTERNATIONAL SCHOOL
 231 | MNPSGZB  | Modern National Public School
 209 | GOLDENBGT | Goldenbee Global School, Bannerghatta
 249 | VIVEKANANDA | VIVEKANANDA INSTITUTIONS
 243 | DPPSKWC  | Delhi Police Public School. Kingsway Camp
 235 | MEERA    | Meera Medical Institute of Nursing & Hospital
 214 |          | QMSMT, OUTSOURCE
